Field ID	Field Name	Description	Type
037ceb13-0d90-4e5d-b141-ae54a39249fa	DocEntry	Internal ID e.g. 1029	INTEGER
a067f806-b8a6-4df9-8818-c02f55ce3833	DocNum	Delivery doc no. e.g. 1029	INTEGER
e789f524-5dc6-4994-8713-79d01369c081	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
1f33c9a7-a9e6-44f3-8cec-eb568330a4a4	CardCode	Customer code e.g. C19001	NVARCHAR
5302393e-dadb-4364-9972-282f4a8cf28a	CardName	Customer name e.g. Acme Ltd	NVARCHAR
generated-VW_ODLN-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ODLN-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
83b80f6e-1cc9-47dc-9f20-bc993698f10e	LineNum	Line no. e.g. 0; 1; 2	INTEGER
d6ff958c-3c40-4ea6-9cc5-83df39973d9f	ItemCode	Item code e.g. A00002；C00005	NVARCHAR
96547947-23f8-4f1f-a60b-957e3bfd14b9	Dscription	Item description e.g. IBM Infoprint 1222 Inkjet Printer	NVARCHAR
567a834e-f312-443e-b569-ced8b9a413f9	Quantity	Delivery quantity e.g. 12	DECIMAL
generated-VW_ODLN-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
8c4bc56b-09c1-4cec-9868-c11faa2e4c73	GTotal	Amount incl. VAT e.g. 23100.00	DECIMAL
df18370c-1f1e-49fa-a7b9-4222ad6b39fb	DiscPrcnt	Document discount e.g. 2	DECIMAL
17123998-a7d6-4bd4-a1eb-8154b9b820c9	Price	Price excl. VAT e.g. 2310.00	DECIMAL
82260311-8d85-40bb-bf2f-16ca4e45e86b	Currency	Line currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_ODLN-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ODLN-UomCode	UomCode	UomCode	NVARCHAR
305f375a-2f7d-43e5-ad48-cb892bdc2866	SlpName	Salesperson e.g. John Smith	NVARCHAR
e9cd6c58-9325-4632-9554-1448c3cc5bb2	GroupName	Customer group e.g. Key Account; SMB; Standard	NVARCHAR
4b8b9bdc-6ce1-4f7b-9d37-48da9de3b625	ItmsGrpNam	Item group e.g. 203-Printer; 202-Standard	NVARCHAR
e733b716-628e-4e12-a1df-1898227cb197	WhsName	Warehouse name e.g. Main WH; Aux WH	NVARCHAR
e71549ed-7f15-40eb-a329-53ede17ff6b5	Region	Region e.g. South China	NVARCHAR
generated-VW_ODLN-Reason	Reason	Reason	NVARCHAR
