Field ID	Field Name	Description	Type
generated-VW_ODRF_OIGE-DocEntry	DocEntry	DocEntry	NVARCHAR
2e1f785d-1dbf-49d6-a04e-e549592306ce	DocNum	Document no. e.g. 1029	INTEGER
3c61c1a9-ab4f-4fcd-a80e-0acbe2f65a87	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
generated-VW_ODRF_OIGE-CardCode	CardCode	CardCode	NVARCHAR
generated-VW_ODRF_OIGE-CardName	CardName	CardName	NVARCHAR
generated-VW_ODRF_OIGE-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ODRF_OIGE-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_ODRF_OIGE-LineNum	LineNum	LineNum	NVARCHAR
cb4ba220-5eec-4841-aaa2-41c23c63245d	ItemCode	Item code e.g. LM4029PS	NVARCHAR
5ebef68e-7b4d-4f91-98c9-2ab457dcebef	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
9699026e-1b10-4b41-bb44-3e8b56ae1919	Quantity	Quantity e.g. 1;2	DECIMAL
generated-VW_ODRF_OIGE-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_ODRF_OIGE-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_ODRF_OIGE-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
26542cb2-3812-4445-8842-b95ed1b67d16	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
a6317dbc-1191-4ac6-85f2-02338d78a605	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_ODRF_OIGE-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ODRF_OIGE-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_ODRF_OIGE-SlpName	SlpName	SlpName	NVARCHAR
generated-VW_ODRF_OIGE-GroupName	GroupName	GroupName	NVARCHAR
7348cad8-b696-478f-92eb-0fcd969bd5d9	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
7e77cbce-7865-4b41-85d1-8378e0a76c94	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_ODRF_OIGE-Region	Region	Region	NVARCHAR
generated-VW_ODRF_OIGE-Reason	Reason	Reason	NVARCHAR
