Field ID	Field Name	Description	Type
generated-VW_ODRF_OIGN-DocEntry	DocEntry	DocEntry	NVARCHAR
dbf62945-a206-4775-998e-fb38c591a21d	DocNum	Document no. e.g. 1029	INTEGER
c0f982b1-d22b-4db8-8200-e9c9038de78d	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
generated-VW_ODRF_OIGN-CardCode	CardCode	CardCode	NVARCHAR
generated-VW_ODRF_OIGN-CardName	CardName	CardName	NVARCHAR
generated-VW_ODRF_OIGN-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ODRF_OIGN-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_ODRF_OIGN-LineNum	LineNum	LineNum	NVARCHAR
06808dd3-7234-4977-8f12-638fe76da961	ItemCode	Item code e.g. LM4029PS	NVARCHAR
c987be99-f8aa-4a78-a733-232d24e28d1b	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
217cf994-f66b-45b4-a273-cc0bae004bd9	Quantity	Quantity e.g. 1;2	DECIMAL
generated-VW_ODRF_OIGN-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_ODRF_OIGN-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_ODRF_OIGN-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
bbaf0144-8cdb-4893-a8ef-e4853a1ae080	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
b411dc9a-23d7-4301-b667-be85119d7478	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_ODRF_OIGN-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ODRF_OIGN-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_ODRF_OIGN-SlpName	SlpName	SlpName	NVARCHAR
generated-VW_ODRF_OIGN-GroupName	GroupName	GroupName	NVARCHAR
ce250117-d37a-4033-b0a0-517b5c4178ff	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
88e0e354-700b-41d7-ae22-7fe68e1ea11c	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_ODRF_OIGN-Region	Region	Region	NVARCHAR
generated-VW_ODRF_OIGN-Reason	Reason	Reason	NVARCHAR
