Field ID	Field Name	Description	Type
generated-VW_ODRF_OWTR-DocEntry	DocEntry	DocEntry	NVARCHAR
8fc2166d-3913-425f-933b-2c9227a2f866	DocNum	Document no. e.g. 1029	INTEGER
91b8ee4b-7bbf-4f4e-b6e9-013097f6b6ad	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
9e0a2e3f-69e7-4b0e-9423-20b9c58aab8c	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
c9639b61-e363-42b2-911d-533d99f98952	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_ODRF_OWTR-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ODRF_OWTR-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_ODRF_OWTR-LineNum	LineNum	LineNum	NVARCHAR
7cd8b4fd-5b8b-49c1-a44d-052cec7deb61	ItemCode	Item code e.g. LM4029PS	NVARCHAR
80820250-b7b4-43cb-9c3a-d10c1bf4afd0	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
2fda3d7f-12dd-4229-b88f-f7c345e9f625	Quantity	Quantity e.g. 1	DECIMAL
generated-VW_ODRF_OWTR-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_ODRF_OWTR-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_ODRF_OWTR-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
60510735-1280-421f-bbd5-356b9b32adc6	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
ce087d6e-fd38-4409-9774-e28ddc94ed36	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_ODRF_OWTR-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ODRF_OWTR-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_ODRF_OWTR-SlpName	SlpName	SlpName	NVARCHAR
5dcf1dd6-2e24-40f2-9b67-d8c93b5d93f4	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
6d206ab1-9763-4fe9-8953-0554136b115e	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
generated-VW_ODRF_OWTR-WhsName	WhsName	WhsName	NVARCHAR
generated-VW_ODRF_OWTR-Region	Region	Region	NVARCHAR
generated-VW_ODRF_OWTR-Reason	Reason	Reason	NVARCHAR
