Field ID	Field Name	Description	Type
generated-VW_OIGE-DocEntry	DocEntry	DocEntry	NVARCHAR
f0a73562-15ae-41b6-9d54-97f0b4bb2fb7	DocNum	Document no. e.g. 1029	INTEGER
fea78982-c336-4ab6-9bc1-51ef341c2fd1	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
generated-VW_OIGE-CardCode	CardCode	CardCode	NVARCHAR
generated-VW_OIGE-CardName	CardName	CardName	NVARCHAR
generated-VW_OIGE-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OIGE-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_OIGE-LineNum	LineNum	LineNum	NVARCHAR
57817bd5-1be4-4205-a75a-86e82c1c2299	ItemCode	Item code e.g. LM4029PS	NVARCHAR
f718a295-5964-48a5-b0c3-907b9351e37a	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
f5af8b8f-70b3-4bed-b27b-2fc5bcbe4215	Quantity	Quantity e.g. 1;2	DECIMAL
generated-VW_OIGE-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_OIGE-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_OIGE-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
b312e85e-658f-4a02-b22b-8dbc0707ba4a	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
80cfd87c-8e17-443b-8092-301e166dda3a	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_OIGE-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OIGE-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_OIGE-SlpName	SlpName	SlpName	NVARCHAR
generated-VW_OIGE-GroupName	GroupName	GroupName	NVARCHAR
84518877-eda1-4b53-80bd-81d60bb936ad	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
6fbf775c-fc60-4e0b-b896-a2f9719eb041	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_OIGE-Region	Region	Region	NVARCHAR
generated-VW_OIGE-Reason	Reason	Reason	NVARCHAR
