Field ID	Field Name	Description	Type
generated-VW_OIGN-DocEntry	DocEntry	DocEntry	NVARCHAR
99dc965e-ce32-4b78-a929-e8aaedafef73	DocNum	Document no. e.g. 1029	INTEGER
f8f29e83-ff2a-43e8-9afe-37898faf656b	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
generated-VW_OIGN-CardCode	CardCode	CardCode	NVARCHAR
generated-VW_OIGN-CardName	CardName	CardName	NVARCHAR
generated-VW_OIGN-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OIGN-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_OIGN-LineNum	LineNum	LineNum	NVARCHAR
c64ba60e-beee-43c3-b682-1ffc63a8c51d	ItemCode	Item code e.g. LM4029PS	NVARCHAR
a0ab6dab-7d9e-4e9e-a7b7-f6000049ca63	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
9a32d0b5-2b31-49a2-b243-5b53ec6603a4	Quantity	Quantity e.g. 1;2	DECIMAL
generated-VW_OIGN-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_OIGN-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_OIGN-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
d0d3ebdf-de27-4e7d-949a-6e3b2df0b207	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
c95882ba-bc4b-4003-8dda-d473f70cf356	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_OIGN-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OIGN-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_OIGN-SlpName	SlpName	SlpName	NVARCHAR
generated-VW_OIGN-GroupName	GroupName	GroupName	NVARCHAR
8fccb924-b9bb-4edd-8941-c40b65d9d9f6	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
711a7aae-c1c0-4ff5-be53-ab113784139e	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_OIGN-Region	Region	Region	NVARCHAR
generated-VW_OIGN-Reason	Reason	Reason	NVARCHAR
