Field ID	Field Name	Description	Type
840dbecd-59bd-42c5-9327-2d8727dee78f	DocEntry	Internal ID e.g. 1029	INTEGER
e3e1f7cc-5b47-4c8f-8052-5036f5a034fc	DocNum	AR invoice no. e.g. 1029	INTEGER
7fa748af-6c2a-431a-be13-ef62a1950bd4	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
generated-VW_OINV-DocDueDate	DocDueDate	Document due date e.g. 2024-06-30	TIMESTAMP
16868aa4-eaa9-4038-a589-ed12702dcc9b	CardCode	Customer code e.g. C19001	NVARCHAR
61759ad0-1af8-4867-9b6d-01230d737b1b	CardName	Customer name e.g. Acme Ltd	NVARCHAR
generated-VW_OINV-DocCurrency	DocCurrency	Document currency e.g. AUD; USD; EUR	NVARCHAR
generated-VW_OINV-DocTotal	DocTotal	Document total including tax	DECIMAL
generated-VW_OINV-PaidToDate	PaidToDate	Amount paid against the invoice	DECIMAL
generated-VW_OINV-DocStatus	DocStatus	Document status e.g. O-Open; C-Closed	NVARCHAR
generated-VW_OINV-CANCELED	CANCELED	Cancellation flag e.g. Y-Yes; N-No	NVARCHAR
generated-VW_OINV-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OINV-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
b6c497ec-9f9b-4b74-b5b6-cfcd0b2b4947	LineNum	Line no. e.g. 0; 1; 2	INTEGER
2c53baea-5737-4731-9cef-73b7de21b6fa	ItemCode	Item code e.g. A00002；C00005	NVARCHAR
af129677-807e-4c0e-ae51-97648ba5ae67	Dscription	Item description e.g. IBM Infoprint 1222 Inkjet Printer	NVARCHAR
2d342de6-b7a8-4282-b815-8f7d0480aeb9	Quantity	Invoice quantity e.g. 12	DECIMAL
generated-VW_OINV-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
5a4fbced-d289-4cd8-b47b-ea993a1b4287	GTotal	Amount incl. VAT e.g. 23100.00	DECIMAL
dfe4aeaa-13bf-4acc-8d5a-381f7bc846ce	DiscPrcnt	Document discount e.g. 2	DECIMAL
80d5a713-b181-4801-8a86-4bf09f841b3c	Price	Price excl. VAT e.g. 2310.00	DECIMAL
1b8d51b2-857b-4299-bdd5-df6fac8bef5c	Currency	Line currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_OINV-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OINV-UomCode	UomCode	UomCode	NVARCHAR
714ef98c-8ffb-4451-af91-0a10c6d72cc7	SlpName	Salesperson e.g. John Smith	NVARCHAR
c65f55e4-b85b-4dc0-878e-7990ac7b9792	GroupName	Customer group e.g. Key Account; SMB; Standard	NVARCHAR
5e16ef9e-e854-40a3-adc7-e8da86abf8a9	ItmsGrpNam	Item group e.g. 203-Printer; 202-Standard	NVARCHAR
6a32f0e0-9055-427b-9a14-c609899a4e8c	WhsName	Warehouse name e.g. Main WH; Aux WH	NVARCHAR
8763cdd3-0676-4ee9-8ba6-299564a5e129	Region	Region e.g. South China	NVARCHAR
generated-VW_OINV-Reason	Reason	Reason	NVARCHAR
