Field ID	Field Name	Description	Type
2ea1366b-0ef3-4074-a14a-1b194e6a008b	DocEntry	Internal ID e.g. 1029	INTEGER
abce8d71-7538-458a-877f-c9851a495113	DocNum	Document no. e.g. 1029	INTEGER
bf1774b2-af4c-4895-90fc-5851b67840a1	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
ff9d031d-e533-4a29-ade5-730700a3b7f2	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
20c2d29a-3b69-44de-b575-35a054b971ea	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_OPCH-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OPCH-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
3da2c12b-d343-4bd5-94d4-a9dbd5446e2d	LineNum	Line no. e.g. 0; 1; 2	INTEGER
88b164a6-5a2e-44cf-adbb-758688bcbfba	ItemCode	Item code e.g. A00002;C00005	NVARCHAR
bac6a8f2-1c11-48bf-9b4d-7220bc1d70b9	Dscription	Item description e.g. Inkjet Printer	NVARCHAR
19056283-060d-439a-9bf6-bed6e4566738	Quantity	Quantity e.g. 12	DECIMAL
generated-VW_OPCH-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
ff4433ae-f4ad-49c7-8906-58eed60cba20	GTotal	Amount (incl. tax) e.g. 23100.00	DECIMAL
4998ea19-a629-49da-9586-b678bda5110d	DiscPrcnt	Document discount e.g. 2	DECIMAL
776bbd9c-15fb-4384-b735-0e3e522837b3	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
258dddcf-1ac5-4a73-b9be-81aaa4bc95ea	Currency	Currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_OPCH-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OPCH-UomCode	UomCode	UomCode	NVARCHAR
095130cb-44f9-439c-b58c-f044797691eb	SlpName	Salesperson/buyer name e.g. John Smith	NVARCHAR
156bf638-7fec-40fb-8b7b-c535dc526fbc	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
5a6a42bb-263c-4a5a-a6fa-cf1d0945b913	ItmsGrpNam	Item group name e.g. 203-Printer	NVARCHAR
c8870c41-c989-47ad-8f0e-555cb6b79557	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_OPCH-Region	Region	Region	NVARCHAR
generated-VW_OPCH-Reason	Reason	Reason	NVARCHAR
