Field ID	Field Name	Description	Type
98f8a63b-ff04-4992-b637-6f2247fa249f	DocEntry	Internal ID e.g. 1029	INTEGER
4c512cfa-1f18-44f5-afd5-87d6d352d5e6	DocNum	Goods receipt no. e.g. 1029	INTEGER
6929b5ed-7a4d-48e4-af30-56b542b535c5	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
4cc569f1-3aee-4999-99d7-98fa256cf08f	CardCode	Vendor code e.g. V10000；S10000	NVARCHAR
fae0b55f-f648-4e3b-93fd-7a24ffb3d651	CardName	Vendor name e.g. Zhuhai Vendor Ltd	NVARCHAR
generated-VW_OPDN-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OPDN-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
0b10fb14-f5de-487e-901e-2f67ce0ab932	LineNum	Line no. e.g. 0; 1; 2	INTEGER
8df8b47b-63c5-45fd-9b03-d7edf69c16b4	ItemCode	Item code e.g. A00002；C00005	NVARCHAR
615a3f21-5249-4bef-b42d-075f208d2436	Dscription	Item description e.g. IBM Infoprint 1222 Inkjet Printer	NVARCHAR
4b472d64-90b4-4d60-9d3b-6cf68d4ea686	Quantity	Received quantity e.g. 12	DECIMAL
generated-VW_OPDN-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
aa1e8bc6-27cd-4545-9fe6-e9b852d93703	GTotal	Amount incl. VAT e.g. 23100.00	DECIMAL
3ef87021-067d-4b50-8372-a5f9cd2c01a4	DiscPrcnt	Document discount e.g. 2	DECIMAL
79ddadda-f689-4e2b-a016-5a5a6c5ef59d	Price	Price excl. VAT e.g. 2310.00	DECIMAL
1435b8a4-0ebb-4005-ae69-ee2607b63baf	Currency	Line currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_OPDN-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OPDN-UomCode	UomCode	UomCode	NVARCHAR
b138498d-0829-4d94-912c-4032bfd51204	SlpName	Buyer e.g. Buyer Name	NVARCHAR
b87b37ff-a50c-4490-90b6-48912dafcff3	GroupName	Vendor group e.g. Key vendor	NVARCHAR
dd75fd7b-b85e-4dca-8c28-a954c57a9e0f	ItmsGrpNam	Item group e.g. 203-Printer; 202-Standard	NVARCHAR
27b163fe-105f-4522-b204-b863b45ed3e7	WhsName	Warehouse name e.g. Main WH; Aux WH	NVARCHAR
generated-VW_OPDN-Region	Region	Region	NVARCHAR
generated-VW_OPDN-Reason	Reason	Reason	NVARCHAR
