Field ID	Field Name	Description	Type
ca9808e4-b88c-44aa-b898-9e1ea8173fe0	DocNum	Return doc no. e.g. 1029	INTEGER
9f645a52-90c4-4ca1-a0b1-19109f777276	DocEntry	Internal ID e.g. 1029	INTEGER
17c120c5-f9a3-4d62-8aaa-1dba4ce13f1f	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
1ea425ef-5d2f-4978-8d8a-ad61243a7b82	DocStatus	Document status e.g. O-Open; C-Closed	NVARCHAR
4f82b733-551f-42e9-902b-24bc6980ed92	DocType	Document type e.g. I-Item; S-Service	NVARCHAR
0a3625d1-81cb-42e2-98a4-8bdbeb2fa9af	ObjType	Object type e.g. 16-Sales Return	NVARCHAR
2951c369-f880-4704-b3f4-6b9a47baf99b	CardCode	Customer code e.g. C19001	NVARCHAR
0cf8c87b-3b6c-4bc9-9540-c61064484ec7	CardName	Customer name e.g. Acme Ltd	NVARCHAR
13baf555-ccea-4d83-9a2f-d4cc410033df	GroupName	Customer group e.g. Key Account; SMB; Standard	NVARCHAR
61201fe6-8a58-413c-91be-831576ea81e5	Province	Province e.g. Guangdong	NVARCHAR
d405552f-225c-4c0d-9bdf-268a3dbd029b	Region	Region e.g. South China	NVARCHAR
d56ddde6-ba94-43aa-9a7f-255299890f65	DocCur	Currency e.g. RMB; USD; EUR	NVARCHAR
4db58f07-095e-4c17-bae6-a2f5c82e0926	IsLocCurrency	Is local currency e.g. Y-Yes; N-No	VARCHAR
494eda63-8ae8-4975-87cd-4767bedf6cb6	DocRate	Exchange rate e.g. 7.9076; 1.0000	DECIMAL
48eea274-8f0c-46c3-b358-f1e3b1cbea2a	DiscPrcnt	Document discount e.g. 2	DECIMAL
d5e31cd5-cff5-4741-908a-48ab332de706	SlpName	Salesperson e.g. John Smith	NVARCHAR
29aa8250-2036-4be2-a625-2cb6e333b960	LineNum	Line no. e.g. 0; 1; 2	INTEGER
73d033cb-e7f3-4bf4-84ed-b3d0baf4c264	LineStatus	Line status e.g. O-Open; C-Closed	NVARCHAR
d3e6c014-9752-4f8f-9974-c9a83795b890	BaseType	Base object type e.g. 15-Delivery; 234000031-Return request	INTEGER
02458b26-0db9-4c87-9862-99f3abad8747	BaseEntry	Base doc no. e.g. 1034	INTEGER
63c6ed55-7373-44b0-8fc3-289db79b2bff	BaseLine	Base line no. e.g. 0; 1; 2	INTEGER
3d417f0f-e476-46f1-9065-76c87a274be5	ItemCode	Item code e.g. A00002；C00005	NVARCHAR
1faf1afe-ef43-4108-a27e-af7daf810fbd	SubCatNum	BP catalog no. e.g. 10080910	NVARCHAR
634b7455-7182-4360-aef0-eb2ee38e5eab	Dscription	Item description e.g. IBM Infoprint 1222 Inkjet Printer	NVARCHAR
8d78bdf1-c4fe-4526-80e0-b7ead56f2d82	AcctCode	Account code e.g. 55020408	NVARCHAR
090f0048-113e-4177-9a77-a889b64572dd	AcctName	Account name e.g. Admin-Office-Other	NVARCHAR
6d18231f-1b03-4dfb-b994-2c306af950c3	ItmsGrpNam	Item group e.g. 203-Printer; 202-Standard	NVARCHAR
99a576be-2a65-4b13-bd69-f5d103843dc8	Quantity	Return quantity e.g. -12	DECIMAL
835887d0-1f68-421e-aa1b-c2c69afce432	OpenCreQty	Open quantity e.g. 2	DECIMAL
8de81310-d8a7-4bea-8fcf-42fee3698a39	WhsCode	Warehouse code e.g. 01	NVARCHAR
6fafc882-8db7-4e98-9977-4ea2b505b431	WhsName	Warehouse name e.g. Main WH; Aux WH	NVARCHAR
a46c7803-c139-4492-80bd-a3488f83133e	ShipDate	Delivery date e.g. 2024-05-30	TIMESTAMP
