Field ID	Field Name	Description	Type
de762080-97ff-44e2-a9b1-e4ffd261d077	DocEntry	Internal ID e.g. 1029	INTEGER
379bd237-2813-4b18-8682-6fa7579d1779	DocNum	Document no. e.g. 1029	INTEGER
c91c69a0-10e4-4b23-9126-7433e1982059	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
0449a8cd-e23b-48c8-9922-7296b37f2fca	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
4601ab7a-e284-4971-ba2c-cc9fd65eeabe	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_ORDR-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ORDR-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
4cb292bf-37f2-4665-bf63-ebceaf0a0430	LineNum	Line no. e.g. 0; 1; 2	INTEGER
61ffcd17-1b30-42e6-b0b8-9dcf0eaa130b	ItemCode	Item code e.g. A00002;C00005	NVARCHAR
7cac63a6-62d4-4614-bd31-85aaa2a66ae1	Dscription	Item description e.g. Inkjet Printer	NVARCHAR
aa76b524-1750-47e8-873f-695c47ed2ba3	Quantity	Quantity e.g. 12	DECIMAL
generated-VW_ORDR-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
c7abec41-7190-4de5-b3a2-6c9e89eebd2e	GTotal	Amount (incl. tax) e.g. 23100.00	DECIMAL
447394f3-3085-4467-ada7-6645facb6645	DiscPrcnt	Document discount e.g. 2	DECIMAL
d2462ab1-855b-4d4b-9639-9580988890cc	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
9b1afc91-e65b-442e-9725-0693a89f3f59	Currency	Currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_ORDR-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ORDR-UomCode	UomCode	UomCode	NVARCHAR
75828fb3-6027-41d1-be94-d4b806f6e3f7	SlpName	Salesperson/buyer name e.g. John Smith	NVARCHAR
b05eedba-03f6-4f9b-b5d5-846afdb6a010	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
e289600c-c8a7-4ff5-a56c-19d3328ac0b7	ItmsGrpNam	Item group name e.g. 203-Printer	NVARCHAR
77d8f39c-6f30-4f72-aebd-a289549b619d	WhsName	Warehouse name e.g. Main WH	NVARCHAR
55739808-7793-4cb2-bb9e-7523979dc651	Region	Region e.g. South China	NVARCHAR
generated-VW_ORDR-Reason	Reason	Reason	NVARCHAR
