Field ID	Field Name	Description	Type
dcf9014c-2e8c-48bf-a3ca-2f27f098309e	DocEntry	Internal ID e.g. 1029	INTEGER
0a1e72ba-20c1-4adb-a891-78a5b3017ade	DocNum	Document no. e.g. 1029	INTEGER
9f396e01-000b-4f5f-97f8-07f4a8ff5944	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
24d54140-dd61-4601-ab00-a12d29e5df56	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
4d7d7dda-83ed-45ca-898d-c6c244d7a601	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_ORIN-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ORIN-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
07004e18-3732-49d3-958b-7c19f1ad0962	LineNum	Line no. e.g. 0; 1; 2	INTEGER
1b75d385-8870-4514-9537-f6d386f7656f	ItemCode	Item code e.g. A00002;C00005	NVARCHAR
4ec5d5ee-0af7-49af-b855-4b736a7026d1	Dscription	Item description e.g. Inkjet Printer	NVARCHAR
2ed67f3c-d8a6-4ecd-b8a9-0366f9e956be	Quantity	Quantity e.g. 12	DECIMAL
generated-VW_ORIN-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
af1b01ce-c7fc-4dd5-ad55-09e6b76dafd0	GTotal	Amount (incl. tax) e.g. -23100.00	DECIMAL
790c7a9c-6b73-437a-a2e3-867590bb458a	DiscPrcnt	Document discount e.g. 2	DECIMAL
5ec02ed4-4e08-41cc-9747-25a1abee367c	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
228ca421-7ede-4277-b730-759c3d6e4680	Currency	Currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_ORIN-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ORIN-UomCode	UomCode	UomCode	NVARCHAR
2603647c-96fd-46f2-86cf-f2b083bf7de8	SlpName	Salesperson/buyer name e.g. John Smith	NVARCHAR
3e21b4cf-83a1-481c-84b6-bed9f1a1d6df	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
4abe613a-3e31-4bb1-ae09-912a890ab18e	ItmsGrpNam	Item group name e.g. 203-Printer	NVARCHAR
e1060b00-7ceb-43aa-b1e8-39a8cd4ffef6	WhsName	Warehouse name e.g. Main WH	NVARCHAR
73af26f3-8c20-48df-90ed-95de073c6280	Region	Region e.g. South China	NVARCHAR
eb44db3d-1a5c-413e-927c-8c13310751b7	Reason	Reason	NVARCHAR
