Field ID	Field Name	Description	Type
4c389e75-5809-4864-b24a-581f813e1936	DocEntry	Internal ID e.g. 1029	INTEGER
efcc8a48-947b-47ad-a9a1-3afd4620789f	DocNum	Document no. e.g. 1029	INTEGER
98ae6f59-45cb-4410-b9ed-9799cb9d3ae6	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
8eaca9ae-6d1d-4254-9abe-3edc7ede203a	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
af493803-53dd-48ff-a8f5-7e2a49f17f05	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_ORPC-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ORPC-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
78d59736-498c-4853-a7e1-dd12022b4294	LineNum	Line no. e.g. 0; 1; 2	INTEGER
f8282c69-6ef3-4df8-84cd-83aa281554c1	ItemCode	Item code e.g. A00002;C00005	NVARCHAR
7272e5df-730e-44e7-982f-50eace565c64	Dscription	Item description e.g. Inkjet Printer	NVARCHAR
05c5fb04-c4b7-467e-93b0-bd7a847f4dbb	Quantity	Quantity e.g. 12	DECIMAL
generated-VW_ORPC-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
e7c1b3a4-81f2-4af2-8e95-70a122b08cb5	GTotal	Amount (incl. tax) e.g. -23100.00	DECIMAL
2d89bb6d-7b65-48f4-b338-7bd202268089	DiscPrcnt	Document discount e.g. 2	DECIMAL
b8b0aeeb-0d80-4cfa-a4fd-cdeaf28fb1fc	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
711ae843-ee3b-4b30-91e2-2ebb707d1706	Currency	Currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_ORPC-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ORPC-UomCode	UomCode	UomCode	NVARCHAR
d7871582-3711-44a9-bc74-81985ef8f17b	SlpName	Salesperson/buyer name e.g. John Smith	NVARCHAR
b70f40f5-8a98-4095-81ae-f35ac9bec2b7	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
ccbe153a-0829-4a5e-b67b-56e92328aaed	ItmsGrpNam	Item group name e.g. 203-Printer	NVARCHAR
7686fef6-d155-4676-bfc9-dbf2b75b21a5	WhsName	Warehouse name e.g. Main WH	NVARCHAR
generated-VW_ORPC-Region	Region	Region	NVARCHAR
02237198-5ee3-4b30-bba2-15fc3406b15c	Reason	Reason	NVARCHAR
