Field ID	Field Name	Description	Type
0bf7cad8-5d9a-4a83-8edb-8a2ace7c82c6	DocEntry	Internal ID e.g. 1029	INTEGER
39e6499f-653f-446c-839b-a0002a985354	DocNum	Purchase return no. e.g. 1029	INTEGER
9a8838fc-7916-4e40-8984-bc487724ae40	DocDate	Document date e.g. 2024-05-30	TIMESTAMP
24c71eab-a759-499a-91ee-9916e431b03b	CardCode	Vendor code e.g. V10000；S10000	NVARCHAR
fcf7e785-311d-4a02-91d8-42f3b6e1ec78	CardName	Vendor name e.g. Zhuhai Vendor Ltd	NVARCHAR
generated-VW_ORPD-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_ORPD-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
e950d91f-e5bd-48f3-a2ba-84a66801777b	LineNum	Line no. e.g. 0; 1; 2	INTEGER
86a21818-2480-476a-9a19-f269adeb50a8	ItemCode	Item code e.g. A00002；C00005	NVARCHAR
d22a44aa-bb04-4a63-8ccb-bf2d0bb7fe01	Dscription	Item description e.g. IBM Infoprint 1222 Inkjet Printer	NVARCHAR
02afbf9a-082b-42ee-8a61-681193f066b1	Quantity	Return quantity e.g. -12	DECIMAL
generated-VW_ORPD-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
af2fd6eb-4821-4161-989a-3bc42b0525db	GTotal	Amount incl. VAT e.g. -23100.00	DECIMAL
893a92d7-79f0-4adc-819e-eb8747c67159	DiscPrcnt	Document discount e.g. 2	DECIMAL
a98b98d0-6683-4a11-a267-1cd7f2e7b6cc	Price	Price excl. VAT e.g. 2310.00	DECIMAL
b86a3f7b-b091-4be1-ab1b-7ab69f58951c	Currency	Line currency e.g. RMB; USD; EUR	NVARCHAR
generated-VW_ORPD-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_ORPD-UomCode	UomCode	UomCode	NVARCHAR
12846477-d761-48b8-a942-ba5bcc0d92c0	SlpName	Buyer e.g. Buyer Name	NVARCHAR
3d39dd9b-e5a2-4573-98c5-5e85fa563761	GroupName	Vendor group e.g. Key vendor	NVARCHAR
dea52c68-311d-4ef6-98b5-4ed227d5443a	ItmsGrpNam	Item group e.g. 203-Printer; 202-Standard	NVARCHAR
ebfb47ff-e7fc-48f4-a962-c1a2e027e7ec	WhsName	Warehouse name e.g. Main WH; Aux WH	NVARCHAR
generated-VW_ORPD-Region	Region	Region	NVARCHAR
c41cc9e8-5fe5-443b-9207-ec8ca0ef2ec3	Reason	Return reason e.g. Quality out of spec	NVARCHAR
