Field ID	Field Name	Description	Type
generated-VW_OWTQ-DocEntry	DocEntry	DocEntry	NVARCHAR
de7cd70e-9213-4049-9205-574426216814	DocNum	Document no. e.g. 1029	INTEGER
fd35dce4-fe58-4c67-9717-7fa05b6d8f07	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
2a412e41-e2ae-4da8-af39-ff5004eb2f5a	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
fc35dcc4-e3ed-4426-97ae-2632fcbb7bee	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_OWTQ-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OWTQ-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_OWTQ-LineNum	LineNum	LineNum	NVARCHAR
b8e1f3d8-4ab9-4c98-9c34-1cc3654c9ce6	ItemCode	Item code e.g. LM4029PS	NVARCHAR
88ccfceb-9ae5-4370-8665-b10c13d9407d	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
d4b2733d-3a29-4a0a-88f5-572a054ad9c3	Quantity	Quantity e.g. 1	DECIMAL
generated-VW_OWTQ-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_OWTQ-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_OWTQ-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
fa0c0cc3-64a1-4d5f-8bfd-1b15910186a3	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
92bc6fad-d55d-4d26-91c1-a0aadaa35003	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_OWTQ-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OWTQ-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_OWTQ-SlpName	SlpName	SlpName	NVARCHAR
3643e7c2-de61-4480-b6af-15c813f16e06	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
037fc154-16d2-4efb-8ebc-32e4fab093bf	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
generated-VW_OWTQ-WhsName	WhsName	WhsName	NVARCHAR
generated-VW_OWTQ-Region	Region	Region	NVARCHAR
generated-VW_OWTQ-Reason	Reason	Reason	NVARCHAR
