Field ID	Field Name	Description	Type
generated-VW_OWTR-DocEntry	DocEntry	DocEntry	NVARCHAR
ffeb5e67-3374-47a8-94ae-821fb3adf9af	DocNum	Document no. e.g. 1029	INTEGER
dbf7bda8-9ba8-46fb-8098-b46605ff4344	DocDate	Document date e.g. 2025-09-26	TIMESTAMP
83fa9fdb-e9ff-42ac-9f59-9673d7bdc24f	CardCode	Business partner code e.g. C19001; V10000	NVARCHAR
20682445-703d-4ffd-8c82-8e9e6cfe359b	CardName	Business partner name e.g. Acme Ltd	NVARCHAR
generated-VW_OWTR-SlpCode	SlpCode	SlpCode	NVARCHAR
generated-VW_OWTR-U_YWLX	U_YWLX	U_YWLX	NVARCHAR
generated-VW_OWTR-LineNum	LineNum	LineNum	NVARCHAR
087af6fc-793f-4b36-b8dd-7fb5c52de02a	ItemCode	Item code e.g. LM4029PS	NVARCHAR
f9076fdd-0d16-4607-9455-590a092b1346	Dscription	Item name e.g. Inkjet Printer	NVARCHAR
cdf96824-03a9-4ce2-a432-e4d22441110d	Quantity	Quantity e.g. 1	DECIMAL
generated-VW_OWTR-WarehouseCode	WarehouseCode	WarehouseCode	NVARCHAR
generated-VW_OWTR-GTotal	GTotal	GTotal	NVARCHAR
generated-VW_OWTR-DiscPrcnt	DiscPrcnt	DiscPrcnt	NVARCHAR
63c0df03-ba1e-4c07-a044-2a6a7ed42fb5	Price	Unit price (excl. tax) e.g. 2310.00	DECIMAL
1d89e86b-e77c-474b-a236-a644f1c1832d	Currency	Currency e.g.:RMB	NVARCHAR
generated-VW_OWTR-UoMEntry	UoMEntry	UoMEntry	NVARCHAR
generated-VW_OWTR-UomCode	UomCode	UomCode	NVARCHAR
generated-VW_OWTR-SlpName	SlpName	SlpName	NVARCHAR
43b04f04-7f22-40cc-baa5-d91feb003f54	GroupName	Business partner group e.g. Key Account; Standard	NVARCHAR
9d6692e4-795e-4595-884f-a2180a4f2953	ItmsGrpNam	Item group e.g. 203-Printer	NVARCHAR
generated-VW_OWTR-WhsName	WhsName	WhsName	NVARCHAR
generated-VW_OWTR-Region	Region	Region	NVARCHAR
generated-VW_OWTR-Reason	Reason	Reason	NVARCHAR
