Field ID	Field Name	Description	Type
8f82a8ce-0eff-478d-aa26-54b1ab234982	ItemCode	Item code e.g. A00001	NVARCHAR
144c9ec0-e373-4e6b-add9-2134b80fd046	ItemName	Item name/description e.g. IBM Infoprint 1312 Inkjet Printer	NVARCHAR
9ebd07e2-991f-45c5-9643-3a6932deaddb	ItmsGrpCod	Item group code e.g. 101	SMALLINT
d4307cce-3b96-49c0-9b4e-b24234875704	ItmsGrpNam	Item group name e.g. 203-Printer	NVARCHAR
294dc110-5c3e-4ffb-b783-d17c016dd1c1	WhsCode	Warehouse code e.g. 03	NVARCHAR
70a12fa6-173c-4726-87fc-47f04f113171	WhsName	Warehouse name e.g. Direct ship WH	NVARCHAR
9a16a4d7-3ecc-4c84-8a19-1406791816f5	OnHand	On-hand quantity e.g. 10	DECIMAL
d045f406-9194-4aa7-b2cd-ce46be638c06	OnOrder	On-order quantity e.g. 20	DECIMAL
557350c3-6688-4dd8-b9bb-02b8bf831444	IsCommited	Committed quantity e.g. 5	DECIMAL
6829c9f5-f133-4b83-8b76-7575d58d9e2f	Available	Available quantity e.g. 25	DECIMAL
6887e1b5-42f4-4521-8b67-82adb9bc952e	AvgPrice	Item cost e.g. 2800.00	DECIMAL
