agent_id,subagent_id,relationship,selection_reason,handoff_artifact
ORCH_DORMANT_REACTIVATION,TASK_AUDIENCE_DISCOVERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_CHURN_RISK_SCORING,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_OFFER_OPTIMIZATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_CHANNEL_TIMING_SELECTION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_CONTENT_GENERATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_CAMPAIGN_EXECUTION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_EFFECT_MEASUREMENT,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_DORMANT_REACTIVATION,TASK_CONSENT_POLICY_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_AUDIENCE_DISCOVERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_PRODUCT_RECOMMENDATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_OFFER_OPTIMIZATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_CHANNEL_TIMING_SELECTION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_CONTENT_GENERATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_CAMPAIGN_EXECUTION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_EFFECT_MEASUREMENT,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_REPLENISHMENT_NBA,TASK_CONSENT_POLICY_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_AUDIENCE_DISCOVERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_PRODUCT_RECOMMENDATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_CONTENT_GENERATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_SA_FOLLOWUP_TASKING,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_EFFECT_MEASUREMENT,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_VIP_CLIENTELING,TASK_CONSENT_POLICY_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_SERVICE_RECOVERY,TASK_SERVICE_RECOVERY_PLAYBOOK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_SERVICE_RECOVERY,TASK_OFFER_OPTIMIZATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_SERVICE_RECOVERY,TASK_SA_FOLLOWUP_TASKING,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_SERVICE_RECOVERY,TASK_EFFECT_MEASUREMENT,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
ORCH_SERVICE_RECOVERY,TASK_CONSENT_POLICY_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_AUDIENCE_DISCOVERY,UTIL_SQL_QUERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
