字段ID	字段名	描述	类型
ca9808e4-b88c-44aa-b898-9e1ea8173fe0	DocNum	退货单号 例如：1029	INTEGER
9f645a52-90c4-4ca1-a0b1-19109f777276	DocEntry	内部标识号 例如：1029	INTEGER
17c120c5-f9a3-4d62-8aaa-1dba4ce13f1f	DocDate	单据日期 例如：2024-05-30	TIMESTAMP
1ea425ef-5d2f-4978-8d8a-ad61243a7b82	DocStatus	单据状态 例如：O-未清；C-已结算	NVARCHAR
4f82b733-551f-42e9-902b-24bc6980ed92	DocType	单据类型 例如：I-物料；S-服务	NVARCHAR
0a3625d1-81cb-42e2-98a4-8bdbeb2fa9af	ObjType	单据对象类型 例如：16-销售退货	NVARCHAR
2951c369-f880-4704-b3f4-6b9a47baf99b	CardCode	客户代码 例如：C19001	NVARCHAR
0cf8c87b-3b6c-4bc9-9540-c61064484ec7	CardName	客户名称 例如：安杰科达有限公司	NVARCHAR
13baf555-ccea-4d83-9a2f-d4cc410033df	GroupName	客户组/客户类别/客户分类 例如：大客户；小客户；普通客户	NVARCHAR
61201fe6-8a58-413c-91be-831576ea81e5	Province	省市 例如：广东省	NVARCHAR
d405552f-225c-4c0d-9bdf-268a3dbd029b	Region	区域 例如：华南地区	NVARCHAR
d56ddde6-ba94-43aa-9a7f-255299890f65	DocCur	货币 例如：RMB；USD；EUR	NVARCHAR
4db58f07-095e-4c17-bae6-a2f5c82e0926	IsLocCurrency	单据是否本位币 例如：Y-是；N-否	VARCHAR
494eda63-8ae8-4975-87cd-4767bedf6cb6	DocRate	汇率 例如：7.9076；1.0000	DECIMAL
48eea274-8f0c-46c3-b358-f1e3b1cbea2a	DiscPrcnt	单据折扣 例如：2	DECIMAL
d5e31cd5-cff5-4741-908a-48ab332de706	SlpName	销售员 例如：张涛	NVARCHAR
29aa8250-2036-4be2-a625-2cb6e333b960	LineNum	行号 例如：0；1；2	INTEGER
73d033cb-e7f3-4bf4-84ed-b3d0baf4c264	LineStatus	行状态 例如：O-未清；C-已结算	NVARCHAR
d3e6c014-9752-4f8f-9974-c9a83795b890	BaseType	基础单据对象类型 例如：15-交货；234000031-退货请求；	INTEGER
02458b26-0db9-4c87-9862-99f3abad8747	BaseEntry	基础单号 例如：1034	INTEGER
63c6ed55-7373-44b0-8fc3-289db79b2bff	BaseLine	基础行号 例如：0；1；2	INTEGER
3d417f0f-e476-46f1-9065-76c87a274be5	ItemCode	物料代码 例如：A00002；C00005	NVARCHAR
1faf1afe-ef43-4108-a27e-af7daf810fbd	SubCatNum	业务伙伴目录编号 例如：10080910	NVARCHAR
634b7455-7182-4360-aef0-eb2ee38e5eab	Dscription	物料描述 例如：IBM Infoprint 1222 喷墨打印机	NVARCHAR
8d78bdf1-c4fe-4526-80e0-b7ead56f2d82	AcctCode	科目代码 例如：55020408	NVARCHAR
090f0048-113e-4177-9a77-a889b64572dd	AcctName	科目名称 例如：管理费用-办公费用-其他费用	NVARCHAR
6d18231f-1b03-4dfb-b994-2c306af950c3	ItmsGrpNam	物料组/物料分类 例如：203-打印机；202-普通物料	NVARCHAR
99a576be-2a65-4b13-bd69-f5d103843dc8	Quantity	退货数量 例如：-12	DECIMAL
835887d0-1f68-421e-aa1b-c2c69afce432	OpenCreQty	未清数量 例如：2	DECIMAL
8de81310-d8a7-4bea-8fcf-42fee3698a39	WhsCode	仓库代码 例如：01	NVARCHAR
6fafc882-8db7-4e98-9977-4ea2b505b431	WhsName	仓库名称 例如：主仓库；辅料仓库	NVARCHAR
a46c7803-c139-4492-80bd-a3488f83133e	ShipDate	交货日期 例如：2024-05-30	TIMESTAMP
321ae914-9268-410c-974a-4d9772acad10	VatGroup	税代码 例如：X1；X2	NVARCHAR
95baf646-ab18-4a00-8b77-04babd76e9ed	VatPrcnt	税率 例如：13.0000；6.0000	DECIMAL
f2d73f30-9e3d-40f7-8375-4a0fd2db4052	Currency	单价货币 例如：RMB；USD；EUR	NVARCHAR
60db6e9d-8e1f-4e4a-ba79-16f3ec1a5d05	LineIsLocCurrency	是否本位币 例如：Y-是；N-否	VARCHAR
555db99d-1f5e-4f87-a3ee-ea6482649ddc	Rate	单价货币汇率 例如：7.9076；1.0000	DECIMAL
7ee7fee8-29a8-4485-8a39-4f394b6f5797	Price	不含税单价 例如：2310.00	DECIMAL
03e4c713-30c6-45e3-9f07-6a266ca2d9c9	PriceAfVAT	含税单价 例如：2310.00	DECIMAL
75386391-ace8-42fe-9beb-10d9ff1a6056	LineTotal	不含税金额 例如：-2702.70	DECIMAL
ebdad91a-832c-4d18-b1da-e232cd128084	GTotal	含税金额 例如：-23100.00	DECIMAL
fee251cb-a846-44a1-b93f-f9ba99c104bd	TotalFrgn	不含税外币金额 例如：-3281.25	DECIMAL
0a8b64fb-7602-465d-8c4e-5a99aa29d7a8	GTotalFC	含税外币金额 例如：-3281.25	DECIMAL
be71624f-acf8-46c3-879b-d46f325d2ba9	Reason	退货原因 例如：质量指标超标	NVARCHAR
98e1dcab-4ede-466d-9815-5164110b5410	Project	项目号 例如：SPI-C23900	NVARCHAR
f91712e6-b51a-420c-80a3-d94efd8b8631	PrjName	项目名称 例如：Maxi-Teq的新服务器安装	NVARCHAR
a2e31ffb-7342-4bcf-ab31-ca378a9e533a	OcrCode	成本利润中心1代码 例如：A01；A02	NVARCHAR
ea0c2a3a-1648-4c4f-a0b1-a17233e9b668	CostCenterName1	成本利润中心1名称 例如：大区1；大区2	NVARCHAR
771f1546-ea54-43a8-8dca-756052cecd47	OcrCode2	成本利润中心2代码 例如：D001；D002	NVARCHAR
7ae16157-ad59-4f4f-8e13-6a32a91202f2	CostCenterName2	成本利润中心2名称 例如：财务部；销售部	NVARCHAR
faac258a-5b96-41a3-befc-5d8e0b671348	OcrCode3	成本利润中心3代码 例如：E001；E002	NVARCHAR
2fb3262a-13d2-440f-aa19-91b13d629568	CostCenterName3	成本利润中心3名称 例如：张玮；李珊珊	NVARCHAR
6a9938f6-a17b-41f5-ac5a-9b41f9e9d544	OcrCode4	成本利润中心4代码 例如：B01；B02	NVARCHAR
ab554c35-d56d-4db9-907c-3e048e1a6edf	CostCenterName4	成本利润中心4名称 例如：产品线1；产品线2	NVARCHAR
9d18daf7-04a0-4257-a8cd-42e88ada3a23	OcrCode5	成本利润中心5代码 例如：C19001	NVARCHAR
3a2bf4b6-abc8-4331-8b19-6d65c7933f04	CostCenterName5	成本利润中心5名称 例如：安杰科达有限公司	NVARCHAR
3c48deb1-1a45-4640-a8e7-38537864ea50	Code	财务期间 例如：2024-05	NVARCHAR
c6ab093c-6ee2-4ec2-b0d4-2bb0335a5095	Category	财务年度 例如：2024	NVARCHAR
653fc464-95dc-4929-9f69-dabadbf380b1	BPLId	分支代码 例如：3；4	INTEGER
e9a947cf-edaa-4b7f-b550-6f2cc6a2d8f0	BPLName	分支名称 例如：孝闻店；中央花园	NVARCHAR
