run_id,timestamp,agent_id,scenario_id,status,latency_ms,input_tokens,output_tokens,tool_calls,estimated_cost_usd,eval_score,human_approval_required
RUN0000001,2026-06-01 14:20:00,TASK_EFFECT_MEASUREMENT,SCN_DORMANT_REACTIVATION,success,7906,4182,780,8,0.573,0.854,N
RUN0000002,2026-06-14 21:03:00,TASK_CAMPAIGN_EXECUTION,SCN_NEW_CUSTOMER_ONBOARDING,success,5647,3410,1592,17,0.2552,0.727,N
RUN0000003,2026-06-25 21:46:00,TASK_CAMPAIGN_EXECUTION,SCN_MEMBER_GROWTH,success,12644,3100,266,9,1.6474,0.852,N
RUN0000004,2026-06-17 21:26:00,TASK_PRODUCT_RECOMMENDATION,SCN_REPLENISHMENT_NBA,success,2812,2309,536,14,1.7387,0.898,N
RUN0000005,2026-06-17 01:22:00,TASK_PRODUCT_RECOMMENDATION,SCN_NEW_CUSTOMER_ONBOARDING,success,6127,736,270,17,1.5377,0.99,N
RUN0000006,2026-06-18 03:37:00,TASK_CHURN_RISK_SCORING,SCN_VIP_CLIENTELING,policy_blocked,9668,3449,506,1,1.1714,0.38,N
RUN0000007,2026-06-07 01:44:00,TASK_CONSENT_POLICY_CHECK,SCN_MEMBER_GROWTH,success,10558,3701,1174,14,0.3542,0.865,N
RUN0000008,2026-06-01 18:12:00,TASK_CONTENT_GENERATION,SCN_REPLENISHMENT_NBA,success,3085,3708,500,13,0.1905,0.854,N
RUN0000009,2026-06-03 14:52:00,TASK_OFFER_OPTIMIZATION,SCN_VIP_CLIENTELING,success,4347,4377,646,16,0.3262,0.932,N
RUN0000010,2026-06-12 23:55:00,ORCH_VIP_CLIENTELING,SCN_MEMBER_GROWTH,success,1673,4433,240,2,1.0687,0.869,N
RUN0000011,2026-06-13 09:36:00,TASK_CONSENT_POLICY_CHECK,SCN_NEW_CUSTOMER_ONBOARDING,success,12325,4617,1326,5,0.1431,0.937,N
RUN0000012,2026-06-13 03:45:00,TASK_CONSENT_POLICY_CHECK,SCN_REPLENISHMENT_NBA,success,3684,1075,1246,17,0.6728,0.78,N
RUN0000013,2026-06-24 17:28:00,TASK_SA_FOLLOWUP_TASKING,SCN_REPLENISHMENT_NBA,success,7072,4329,253,8,1.3798,0.782,N
RUN0000014,2026-06-21 08:44:00,TASK_EFFECT_MEASUREMENT,SCN_SERVICE_RECOVERY,success,4489,1941,589,18,1.2755,0.809,N
RUN0000015,2026-06-11 20:17:00,TASK_EFFECT_MEASUREMENT,SCN_VIP_CLIENTELING,success,13554,5054,563,11,1.218,0.823,N
RUN0000016,2026-06-19 08:20:00,TASK_SA_FOLLOWUP_TASKING,SCN_REPLENISHMENT_NBA,success,5077,2263,225,11,1.1932,0.964,N
RUN0000017,2026-06-15 06:00:00,TASK_AUDIENCE_DISCOVERY,SCN_REPLENISHMENT_NBA,success,2331,3705,1507,4,0.5748,0.739,N
RUN0000018,2026-06-09 06:22:00,TASK_PRODUCT_RECOMMENDATION,SCN_MEMBER_GROWTH,success,13132,2184,840,5,1.1931,0.95,N
RUN0000019,2026-06-04 15:18:00,TASK_SA_FOLLOWUP_TASKING,SCN_VIP_CLIENTELING,success,11158,4078,844,3,1.145,0.722,N
RUN0000020,2026-06-25 00:02:00,ORCH_REPLENISHMENT_NBA,SCN_NEW_CUSTOMER_ONBOARDING,success,7075,4029,412,1,0.1544,0.985,N
RUN0000021,2026-06-07 23:43:00,TASK_CHURN_RISK_SCORING,SCN_DORMANT_REACTIVATION,policy_blocked,6433,5116,1328,9,0.7983,0.481,N
RUN0000022,2026-06-11 14:56:00,TASK_SERVICE_RECOVERY_PLAYBOOK,SCN_VIP_CLIENTELING,policy_blocked,3941,4182,763,2,0.5434,0.454,N
RUN0000023,2026-06-02 15:15:00,ORCH_REPLENISHMENT_NBA,SCN_NEW_CUSTOMER_ONBOARDING,success,13454,1589,1600,16,0.6751,0.784,N
RUN0000024,2026-06-26 18:36:00,TASK_EFFECT_MEASUREMENT,SCN_SERVICE_RECOVERY,success,11964,815,1512,13,0.7331,0.959,N
RUN0000025,2026-06-14 03:29:00,TASK_PRODUCT_RECOMMENDATION,SCN_NEW_CUSTOMER_ONBOARDING,success,11523,1897,563,17,1.7184,0.974,N
RUN0000026,2026-06-05 16:52:00,ORCH_VIP_CLIENTELING,SCN_DORMANT_REACTIVATION,success,9148,4506,661,16,0.4282,0.811,N
RUN0000027,2026-06-21 11:47:00,TASK_CAMPAIGN_EXECUTION,SCN_MEMBER_GROWTH,success,11769,869,707,2,1.6664,0.803,N
