event_id,customer_id,event_timestamp,event_type,channel,product_id,session_id,value
EVT0000001,CUST00001,2026-01-11 22:24:00,product_view,App,PRD0011,5924360c6d8bbc,0.506
EVT0000002,CUST00001,2026-01-14 14:12:00,live_stream_view,WeChat,PRD0009,4c999d9411e155,0.397
EVT0000003,CUST00001,2026-02-22 08:10:00,page_view,MiniProgram,PRD0012,bf671085d034c2,0.92
EVT0000004,CUST00001,2026-02-10 21:44:00,wishlist_add,MiniProgram,PRD0006,958881ba5d4eea,0.427
EVT0000005,CUST00001,2026-04-15 18:40:00,page_view,Tmall,PRD0017,ef92b4dc3215a3,0.387
EVT0000006,CUST00001,2026-06-30 13:06:00,product_view,App,PRD0007,affecc016bd518,0.102
EVT0000007,CUST00001,2026-02-18 14:34:00,store_visit,POS,PRD0016,f278c7c0322403,0.604
EVT0000008,CUST00001,2026-05-28 21:30:00,store_visit,Tmall,PRD0013,7488e59bb5332f,0.16
EVT0000009,CUST00001,2026-04-04 09:28:00,page_view,Douyin,PRD0002,f889f0ec9606c8,0.853
EVT0000010,CUST00001,2026-05-20 14:49:00,store_visit,MiniProgram,PRD0011,cc2f5f38934d6b,0.728
EVT0000011,CUST00001,2026-01-27 15:41:00,product_view,Douyin,PRD0018,7e6d70ba1faf3e,0.148
EVT0000012,CUST00001,2026-01-24 15:22:00,product_view,Tmall,PRD0006,ce7d29319ac40a,0.116
EVT0000013,CUST00001,2026-05-07 13:26:00,add_to_cart,POS,PRD0002,e3ecef072dd819,0.569
EVT0000014,CUST00002,2026-03-11 17:00:00,add_to_cart,WeChat,PRD0014,a55f8536c0cd38,0.537
EVT0000015,CUST00002,2026-02-04 14:43:00,product_view,POS,PRD0006,4c02cff5598548,0.558
EVT0000016,CUST00003,2026-06-02 21:39:00,wishlist_add,WeChat,PRD0010,de915cb9aa335a,0.865
EVT0000017,CUST00003,2026-03-27 08:44:00,page_view,POS,PRD0002,161911ebb00269,0.815
EVT0000018,CUST00003,2026-01-07 12:18:00,page_view,App,PRD0001,e483556df5497a,0.206
EVT0000019,CUST00003,2026-04-19 09:12:00,product_view,POS,PRD0003,ff51d57262c32f,0.996
EVT0000020,CUST00003,2026-03-16 16:52:00,store_visit,Douyin,PRD0009,51a42ee6766007,0.238
EVT0000021,CUST00003,2026-05-26 20:22:00,add_to_cart,WeChat,PRD0001,26f53daaf3aacc,0.613
EVT0000022,CUST00003,2026-05-15 09:54:00,store_visit,Douyin,PRD0009,7e7d2eb0ccf049,0.239
EVT0000023,CUST00003,2026-02-09 20:25:00,page_view,Tmall,PRD0010,da31aa579ce309,0.169
EVT0000024,CUST00003,2026-05-27 21:20:00,store_visit,WeChat,PRD0001,4f23c63dc34c12,0.898
EVT0000025,CUST00003,2026-02-19 21:32:00,add_to_cart,Douyin,PRD0003,af082717b3f9b6,0.399
EVT0000026,CUST00004,2026-04-16 14:06:00,page_view,Tmall,PRD0062,0d1b209506fc7a,0.986
EVT0000027,CUST00004,2026-02-01 08:39:00,coupon_click,App,PRD0068,5484ee25afb65d,0.474
EVT0000028,CUST00004,2026-06-06 09:41:00,add_to_cart,WeChat,PRD0018,0824f4e80091a9,0.665
EVT0000029,CUST00004,2026-04-29 16:26:00,coupon_click,Tmall,PRD0022,65fed426d09c4e,0.833
EVT0000030,CUST00004,2026-01-03 13:18:00,add_to_cart,Douyin,PRD0040,1063e3a3a1a630,0.695
EVT0000031,CUST00004,2026-02-05 18:04:00,add_to_cart,MiniProgram,PRD0021,2be5e1d09dd264,0.444
EVT0000032,CUST00004,2026-06-22 15:42:00,page_view,WeChat,PRD0038,df9f72805a3a7d,0.649
EVT0000033,CUST00004,2026-03-19 17:44:00,product_view,Douyin,PRD0036,6ee4a64dadc452,0.664
EVT0000034,CUST00004,2026-02-27 11:18:00,page_view,Tmall,PRD0059,39fdd36cb0a1a7,0.951
EVT0000035,CUST00004,2026-01-16 20:08:00,search,MiniProgram,PRD0043,2857ea1fa6697b,0.165
EVT0000036,CUST00004,2026-06-03 10:34:00,page_view,MiniProgram,PRD0072,735fd43d9e0668,0.708
EVT0000037,CUST00004,2026-06-05 16:21:00,wishlist_add,POS,PRD0071,11addfcbd18bae,0.701
EVT0000038,CUST00004,2026-02-19 20:18:00,page_view,Tmall,PRD0054,c938e906b2a3f2,0.35
EVT0000039,CUST00005,2026-05-17 12:22:00,page_view,Douyin,PRD0045,fb7a1fe3098e2a,0.893
EVT0000040,CUST00005,2026-02-05 10:50:00,coupon_click,App,PRD0044,506234b929c7cd,0.315
EVT0000041,CUST00005,2026-02-03 17:26:00,coupon_click,Douyin,PRD0040,0a79464f546676,0.681
