interaction_id,campaign_id,customer_id,sent_date,channel,event_status,revenue_attributed,suppression_reason
INT0000001,CMP001,CUST00002,2026-06-29,MiniProgram,sent,0.0,
INT0000002,CMP001,CUST00007,2026-06-16,MiniProgram,opened,0.0,
INT0000003,CMP001,CUST00010,2026-06-11,WeCom,opened,0.0,
INT0000004,CMP001,CUST00019,2026-06-23,SMS,opened,0.0,
INT0000005,CMP001,CUST00027,2026-06-15,MiniProgram,opened,0.0,
INT0000006,CMP001,CUST00029,2026-07-02,MiniProgram,sent,0.0,
INT0000007,CMP001,CUST00032,2026-07-02,SMS,sent,0.0,
INT0000008,CMP001,CUST00038,2026-06-21,MiniProgram,opened,0.0,
INT0000009,CMP001,CUST00042,2026-06-12,SMS,sent,0.0,
INT0000010,CMP001,CUST00061,2026-06-17,MiniProgram,opened,0.0,
INT0000011,CMP001,CUST00062,2026-06-16,MiniProgram,opened,0.0,
INT0000012,CMP001,CUST00068,2026-06-23,SMS,sent,0.0,
INT0000013,CMP001,CUST00085,2026-07-04,WeCom,clicked,0.0,
INT0000014,CMP001,CUST00114,2026-06-29,WeCom,opened,0.0,
INT0000015,CMP001,CUST00116,2026-06-26,WeCom,suppressed,0.0,No marketing consent
INT0000016,CMP001,CUST00126,2026-06-23,SMS,clicked,0.0,
INT0000017,CMP001,CUST00128,2026-06-15,SMS,opened,0.0,
INT0000018,CMP001,CUST00139,2026-06-11,MiniProgram,opened,0.0,
INT0000019,CMP001,CUST00165,2026-07-01,WeCom,clicked,0.0,
INT0000020,CMP001,CUST00166,2026-06-19,WeCom,converted,212.31,
INT0000021,CMP001,CUST00174,2026-06-16,MiniProgram,opened,0.0,
INT0000022,CMP001,CUST00175,2026-06-10,MiniProgram,converted,1714.57,
INT0000023,CMP001,CUST00180,2026-06-21,WeCom,suppressed,0.0,No marketing consent
INT0000024,CMP001,CUST00184,2026-06-20,WeCom,clicked,0.0,
INT0000025,CMP001,CUST00192,2026-07-01,WeCom,opened,0.0,
INT0000026,CMP001,CUST00195,2026-06-25,WeCom,opened,0.0,
INT0000027,CMP001,CUST00197,2026-06-13,WeCom,sent,0.0,
INT0000028,CMP001,CUST00201,2026-07-02,WeCom,clicked,0.0,
INT0000029,CMP001,CUST00209,2026-06-18,MiniProgram,opened,0.0,
INT0000030,CMP001,CUST00210,2026-06-23,MiniProgram,suppressed,0.0,No marketing consent
INT0000031,CMP001,CUST00223,2026-06-17,MiniProgram,clicked,0.0,
