customer_id,marketing_consent,sms_consent,wechat_consent,email_consent,consent_source,updated_at
CUST00001,Y,N,Y,Y,CRM Import,2025-10-07 12:00:00
CUST00002,Y,Y,Y,N,CRM Import,2026-03-03 13:00:00
CUST00003,Y,Y,Y,Y,WeChat,2025-11-24 20:00:00
CUST00004,Y,N,Y,N,MiniProgram,2025-07-28 18:00:00
CUST00005,Y,Y,Y,Y,POS,2025-08-30 14:00:00
CUST00006,Y,N,Y,N,CRM Import,2026-05-18 08:00:00
CUST00007,Y,Y,Y,N,WeChat,2025-09-29 19:00:00
CUST00008,Y,N,Y,Y,WeChat,2025-08-28 11:00:00
CUST00009,Y,Y,Y,Y,POS,2025-08-26 13:00:00
CUST00010,Y,Y,N,Y,WeChat,2025-08-26 15:00:00
CUST00011,Y,Y,Y,Y,CRM Import,2026-05-12 13:00:00
CUST00012,Y,N,Y,N,WeChat,2026-02-15 08:00:00
CUST00013,Y,Y,Y,N,POS,2025-07-31 12:00:00
CUST00014,Y,N,Y,N,WeChat,2026-01-08 19:00:00
CUST00015,Y,Y,Y,N,CRM Import,2026-04-04 09:00:00
CUST00016,Y,N,Y,Y,MiniProgram,2025-08-25 14:00:00
CUST00017,Y,Y,Y,Y,CRM Import,2026-01-17 12:00:00
CUST00018,Y,N,Y,N,WeChat,2025-07-27 09:00:00
CUST00019,Y,N,Y,N,CRM Import,2026-06-17 13:00:00
CUST00020,Y,Y,Y,N,POS,2026-01-04 12:00:00
CUST00021,Y,N,Y,N,CRM Import,2026-03-07 14:00:00
CUST00022,Y,Y,Y,N,CRM Import,2025-12-02 10:00:00
CUST00023,Y,N,Y,Y,WeChat,2026-01-30 20:00:00
CUST00024,Y,Y,N,Y,MiniProgram,2026-02-27 20:00:00
CUST00025,Y,Y,N,Y,MiniProgram,2025-09-12 13:00:00
CUST00026,Y,N,Y,Y,WeChat,2026-04-25 17:00:00
CUST00027,Y,Y,Y,Y,MiniProgram,2026-04-30 17:00:00
CUST00028,Y,Y,Y,N,MiniProgram,2026-01-19 08:00:00
CUST00029,Y,Y,Y,Y,CRM Import,2026-03-13 13:00:00
CUST00030,Y,Y,Y,Y,WeChat,2025-08-31 20:00:00
CUST00031,Y,Y,Y,N,POS,2026-04-01 15:00:00
CUST00032,Y,Y,Y,Y,MiniProgram,2026-05-15 12:00:00
CUST00033,Y,Y,Y,Y,CRM Import,2026-04-11 19:00:00
CUST00034,Y,Y,Y,N,POS,2026-01-07 08:00:00
CUST00035,Y,N,Y,Y,POS,2026-05-20 21:00:00
CUST00036,Y,N,Y,N,MiniProgram,2026-03-18 09:00:00
CUST00037,Y,N,Y,N,CRM Import,2026-04-08 10:00:00
CUST00038,Y,Y,Y,N,POS,2025-11-05 15:00:00
CUST00039,Y,Y,Y,N,CRM Import,2025-09-28 11:00:00
CUST00040,Y,Y,Y,N,CRM Import,2026-03-14 14:00:00
CUST00041,N,Y,Y,Y,WeChat,2025-08-23 17:00:00
CUST00042,Y,N,Y,N,MiniProgram,2025-08-12 21:00:00
CUST00043,Y,Y,Y,Y,MiniProgram,2025-12-03 12:00:00
CUST00044,N,Y,Y,Y,WeChat,2026-01-07 15:00:00
CUST00045,Y,N,Y,Y,WeChat,2025-11-22 08:00:00
CUST00046,Y,Y,Y,Y,MiniProgram,2025-12-09 11:00:00
CUST00047,N,Y,Y,N,POS,2026-07-01 19:00:00
CUST00048,Y,N,Y,N,POS,2026-03-26 17:00:00
CUST00049,Y,Y,Y,N,WeChat,2026-03-04 18:00:00
CUST00050,N,Y,Y,N,CRM Import,2026-02-05 15:00:00
CUST00051,Y,Y,Y,N,CRM Import,2026-06-11 16:00:00
CUST00052,Y,Y,Y,N,MiniProgram,2026-06-05 17:00:00
CUST00053,Y,Y,Y,N,CRM Import,2025-10-22 09:00:00
CUST00054,Y,Y,Y,Y,WeChat,2026-04-11 11:00:00
CUST00055,Y,Y,Y,Y,MiniProgram,2025-10-07 09:00:00
CUST00056,Y,Y,Y,Y,POS,2025-09-29 10:00:00
CUST00057,Y,N,Y,Y,WeChat,2026-04-01 19:00:00
CUST00058,Y,Y,Y,N,MiniProgram,2025-09-18 15:00:00
CUST00059,Y,Y,Y,N,MiniProgram,2025-10-06 15:00:00
CUST00060,Y,Y,Y,Y,CRM Import,2026-03-26 11:00:00
CUST00061,Y,Y,Y,Y,MiniProgram,2025-07-08 13:00:00
CUST00062,Y,N,Y,N,MiniProgram,2026-06-15 17:00:00
CUST00063,Y,Y,Y,N,POS,2026-03-20 15:00:00
CUST00064,Y,N,Y,Y,MiniProgram,2026-05-15 19:00:00
CUST00065,Y,Y,Y,N,CRM Import,2025-11-27 10:00:00
CUST00066,Y,Y,Y,N,CRM Import,2026-06-01 19:00:00
CUST00067,Y,Y,Y,N,CRM Import,2025-10-13 09:00:00
CUST00068,Y,N,Y,N,MiniProgram,2025-07-18 16:00:00
CUST00069,Y,N,Y,Y,CRM Import,2025-08-24 21:00:00
CUST00070,Y,Y,Y,N,MiniProgram,2025-07-07 18:00:00
CUST00071,Y,Y,Y,Y,MiniProgram,2025-07-05 17:00:00
CUST00072,N,N,Y,N,CRM Import,2026-02-17 18:00:00
