inventory_id,store_id,product_id,stock_on_hand,reserved_qty,available_qty,reorder_point,last_stocktake_date
INV0000001,ST001,PRD0001,66,3,63,8,2026-06-27
INV0000002,ST001,PRD0002,57,3,54,20,2026-06-21
INV0000003,ST001,PRD0003,9,0,9,9,2026-06-13
INV0000004,ST001,PRD0004,84,4,80,9,2026-06-21
INV0000005,ST001,PRD0005,51,4,47,18,2026-06-07
INV0000006,ST001,PRD0006,8,3,5,19,2026-06-11
INV0000007,ST001,PRD0007,85,7,78,17,2026-06-13
INV0000008,ST001,PRD0008,48,1,47,19,2026-07-01
INV0000009,ST001,PRD0009,24,7,17,15,2026-06-16
INV0000010,ST001,PRD0010,79,6,73,10,2026-06-05
INV0000011,ST001,PRD0011,17,7,10,14,2026-06-03
INV0000012,ST001,PRD0012,76,2,74,10,2026-06-04
INV0000013,ST001,PRD0013,75,3,72,11,2026-06-08
INV0000014,ST001,PRD0014,24,7,17,20,2026-06-15
INV0000015,ST001,PRD0015,84,6,78,13,2026-06-22
INV0000016,ST001,PRD0016,22,6,16,15,2026-06-11
INV0000017,ST001,PRD0017,25,3,22,12,2026-06-29
INV0000018,ST001,PRD0018,43,2,41,14,2026-06-28
INV0000019,ST001,PRD0019,42,5,37,19,2026-06-17
INV0000020,ST001,PRD0020,75,6,69,11,2026-06-09
INV0000021,ST001,PRD0021,0,0,0,22,2026-06-30
INV0000022,ST001,PRD0022,25,5,20,10,2026-06-12
INV0000023,ST001,PRD0023,4,3,1,12,2026-06-14
INV0000024,ST001,PRD0024,50,1,49,8,2026-06-23
INV0000025,ST001,PRD0025,80,2,78,13,2026-06-09
INV0000026,ST001,PRD0026,63,1,62,20,2026-07-01
INV0000027,ST001,PRD0027,29,5,24,21,2026-07-01
INV0000028,ST001,PRD0028,82,1,81,17,2026-06-07
INV0000029,ST001,PRD0029,63,7,56,12,2026-06-28
INV0000030,ST001,PRD0030,26,5,21,10,2026-06-03
INV0000031,ST001,PRD0031,3,0,3,12,2026-06-08
INV0000032,ST001,PRD0032,17,3,14,17,2026-06-10
INV0000033,ST001,PRD0033,40,0,40,11,2026-06-04
INV0000034,ST001,PRD0034,15,8,7,13,2026-06-07
INV0000035,ST001,PRD0035,82,1,81,20,2026-06-03
INV0000036,ST001,PRD0036,4,1,3,14,2026-06-21
INV0000037,ST001,PRD0037,18,0,18,22,2026-06-22
INV0000038,ST001,PRD0038,1,0,1,11,2026-06-03
INV0000039,ST001,PRD0039,55,1,54,18,2026-06-23
INV0000040,ST001,PRD0040,35,4,31,15,2026-06-08
INV0000041,ST001,PRD0041,48,8,40,9,2026-06-20
INV0000042,ST001,PRD0042,70,5,65,14,2026-06-05
INV0000043,ST001,PRD0043,41,8,33,21,2026-06-24
INV0000044,ST001,PRD0044,39,3,36,14,2026-06-22
INV0000045,ST001,PRD0045,29,4,25,10,2026-06-26
