customer_id,loyalty_id,tier,points_balance,points_expiring_90d,anniversary_month,next_tier_gap_amount
CUST00001,LOY000001,Gold,42886,190,9,3999.0
CUST00002,LOY000002,Diamond,12652,1287,11,399.0
CUST00003,LOY000003,Platinum,14937,7076,9,1999.0
CUST00004,LOY000004,Silver,28224,1461,1,0.0
CUST00005,LOY000005,Diamond,56068,5119,6,0.0
CUST00006,LOY000006,Gold,39847,5857,6,3999.0
CUST00007,LOY000007,Platinum,51256,7712,10,399.0
CUST00008,LOY000008,Diamond,18198,6260,9,1999.0
CUST00009,LOY000009,Diamond,18242,672,10,399.0
CUST00010,LOY000010,Silver,9276,8209,11,3999.0
CUST00011,LOY000011,Platinum,55161,8700,8,399.0
CUST00012,LOY000012,Diamond,57794,8848,12,3999.0
CUST00013,LOY000013,Diamond,63044,1017,5,8999.0
CUST00014,LOY000014,Diamond,64460,5776,3,0.0
CUST00015,LOY000015,Diamond,55454,1716,9,1999.0
CUST00016,LOY000016,Gold,40332,5311,11,8999.0
CUST00017,LOY000017,Silver,3554,6890,4,399.0
CUST00018,LOY000018,Gold,42622,5613,11,8999.0
CUST00019,LOY000019,Silver,36537,5457,10,3999.0
CUST00020,LOY000020,Gold,59976,8164,12,0.0
CUST00021,LOY000021,Silver,39305,5081,1,8999.0
CUST00022,LOY000022,Diamond,1299,2143,10,899.0
CUST00023,LOY000023,Gold,56361,3647,8,899.0
CUST00024,LOY000024,Gold,690,1759,11,399.0
CUST00025,LOY000025,Gold,57949,4261,2,8999.0
CUST00026,LOY000026,Gold,23107,372,10,8999.0
CUST00027,LOY000027,Gold,13981,5459,1,1999.0
CUST00028,LOY000028,Silver,48400,1718,8,899.0
CUST00029,LOY000029,Silver,43280,6244,2,1999.0
CUST00030,LOY000030,Diamond,56994,6989,11,399.0
CUST00031,LOY000031,Silver,54647,917,9,399.0
CUST00032,LOY000032,Gold,43080,1911,4,399.0
CUST00033,LOY000033,Gold,2725,500,11,8999.0
CUST00034,LOY000034,Diamond,23928,7148,7,0.0
CUST00035,LOY000035,Platinum,24702,3278,5,899.0
CUST00036,LOY000036,Platinum,32400,3137,12,0.0
CUST00037,LOY000037,Silver,38142,7238,9,899.0
CUST00038,LOY000038,Diamond,59311,8162,11,1999.0
CUST00039,LOY000039,Silver,19999,1485,9,899.0
CUST00040,LOY000040,Diamond,66967,7405,5,0.0
CUST00041,LOY000041,Silver,45347,8988,6,899.0
CUST00042,LOY000042,Gold,52955,2414,3,3999.0
CUST00043,LOY000043,Diamond,24580,6653,5,1999.0
CUST00044,LOY000044,Silver,38903,8714,6,3999.0
CUST00045,LOY000045,Platinum,53760,6525,3,3999.0
CUST00046,LOY000046,Platinum,5295,6570,1,3999.0
CUST00047,LOY000047,Gold,63527,518,7,8999.0
CUST00048,LOY000048,Diamond,57641,92,3,1999.0
CUST00049,LOY000049,Gold,10980,5717,7,8999.0
CUST00050,LOY000050,Platinum,30827,8399,6,3999.0
CUST00051,LOY000051,Silver,38763,2348,8,3999.0
CUST00052,LOY000052,Gold,36368,6418,3,899.0
CUST00053,LOY000053,Platinum,48977,7590,4,8999.0
CUST00054,LOY000054,Platinum,28527,1482,11,3999.0
CUST00055,LOY000055,Silver,45870,3022,2,899.0
CUST00056,LOY000056,Diamond,54883,1265,11,899.0
CUST00057,LOY000057,Silver,17844,5206,3,3999.0
CUST00058,LOY000058,Platinum,48812,7632,11,8999.0
CUST00059,LOY000059,Diamond,16264,2075,11,3999.0
CUST00060,LOY000060,Platinum,7792,6577,5,8999.0
CUST00061,LOY000061,Diamond,6835,3189,6,1999.0
CUST00062,LOY000062,Gold,35938,8133,2,1999.0
CUST00063,LOY000063,Silver,43543,2754,2,399.0
CUST00064,LOY000064,Silver,66135,3838,2,8999.0
CUST00065,LOY000065,Platinum,14882,8237,5,3999.0
CUST00066,LOY000066,Gold,22652,6750,12,8999.0
CUST00067,LOY000067,Silver,26900,6062,7,3999.0
CUST00068,LOY000068,Gold,11125,7866,12,899.0
CUST00069,LOY000069,Silver,13340,2558,1,0.0
CUST00070,LOY000070,Platinum,11801,821,10,0.0
CUST00071,LOY000071,Diamond,35324,2480,6,399.0
CUST00072,LOY000072,Diamond,45909,7569,12,399.0
CUST00073,LOY000073,Silver,46421,413,1,3999.0
CUST00074,LOY000074,Diamond,3512,8133,4,0.0
CUST00075,LOY000075,Platinum,28484,4804,11,0.0
CUST00076,LOY000076,Platinum,41538,29,8,1999.0
CUST00077,LOY000077,Gold,31052,3768,11,899.0
CUST00078,LOY000078,Silver,17908,3123,10,0.0
CUST00079,LOY000079,Platinum,21671,5438,7,399.0
CUST00080,LOY000080,Diamond,65635,2498,10,8999.0
CUST00081,LOY000081,Gold,42106,2624,12,8999.0
CUST00082,LOY000082,Platinum,12302,4679,10,399.0
CUST00083,LOY000083,Silver,45223,2228,2,899.0
CUST00084,LOY000084,Gold,24461,6925,2,8999.0
CUST00085,LOY000085,Gold,13224,8247,4,1999.0
CUST00086,LOY000086,Silver,19873,737,5,3999.0
CUST00087,LOY000087,Gold,12517,5856,7,899.0
CUST00088,LOY000088,Platinum,33168,3939,7,3999.0
CUST00089,LOY000089,Platinum,27870,7165,2,899.0
CUST00090,LOY000090,Diamond,61676,3357,5,3999.0
CUST00091,LOY000091,Platinum,56921,8457,5,8999.0
