item_id,transaction_id,product_id,quantity,unit_price,discount_rate,net_amount
ITEM0000001,TXN000001,PRD0004,1,895.9,0,895.9
ITEM0000002,TXN000001,PRD0006,1,670.27,0.15,569.73
ITEM0000003,TXN000001,PRD0017,1,911.77,0,911.77
ITEM0000004,TXN000002,PRD0012,1,696.97,0.15,592.42
ITEM0000005,TXN000003,PRD0053,1,62.29,0.1,56.06
ITEM0000006,TXN000004,PRD0003,1,547.04,0,547.04
ITEM0000007,TXN000005,PRD0001,2,864.11,0,1728.22
ITEM0000008,TXN000005,PRD0018,1,965.82,0,965.82
ITEM0000009,TXN000006,PRD0001,1,864.11,0,864.11
ITEM0000010,TXN000006,PRD0004,1,895.9,0,895.9
ITEM0000011,TXN000007,PRD0032,1,360.62,0,360.62
ITEM0000012,TXN000007,PRD0016,1,1011.7,0.15,859.95
ITEM0000013,TXN000008,PRD0047,1,80.8,0.05,76.76
ITEM0000014,TXN000009,PRD0051,1,93.12,0,93.12
ITEM0000015,TXN000009,PRD0050,1,80.02,0.15,68.02
ITEM0000016,TXN000010,PRD0051,1,93.12,0,93.12
ITEM0000017,TXN000011,PRD0047,1,80.8,0,80.8
ITEM0000018,TXN000012,PRD0026,1,947.34,0.1,852.61
ITEM0000019,TXN000013,PRD0029,1,355.31,0,355.31
ITEM0000020,TXN000013,PRD0044,1,640.34,0,640.34
ITEM0000021,TXN000014,PRD0069,1,377.5,0,377.5
ITEM0000022,TXN000014,PRD0048,1,94.61,0,94.61
ITEM0000023,TXN000015,PRD0069,1,377.5,0.1,339.75
ITEM0000024,TXN000015,PRD0038,1,457.54,0.1,411.79
ITEM0000025,TXN000015,PRD0045,1,559.98,0,559.98
ITEM0000026,TXN000016,PRD0063,2,351.51,0,703.02
ITEM0000027,TXN000017,PRD0066,1,440.6,0,440.6
ITEM0000028,TXN000017,PRD0038,1,457.54,0,457.54
ITEM0000029,TXN000018,PRD0019,1,1011.51,0.05,960.93
ITEM0000030,TXN000018,PRD0072,1,470.7,0.15,400.1
ITEM0000031,TXN000019,PRD0021,1,944.7,0.15,803.0
ITEM0000032,TXN000020,PRD0033,1,296.94,0.12,261.31
ITEM0000033,TXN000021,PRD0044,1,640.34,0,640.34
ITEM0000034,TXN000021,PRD0050,1,80.02,0,80.02
ITEM0000035,TXN000022,PRD0009,1,684.34,0,684.34
ITEM0000036,TXN000022,PRD0059,1,369.05,0,369.05
ITEM0000037,TXN000023,PRD0017,1,911.77,0,911.77
ITEM0000038,TXN000023,PRD0072,1,470.7,0,470.7
ITEM0000039,TXN000023,PRD0063,1,351.51,0.05,333.93
ITEM0000040,TXN000024,PRD0033,1,296.94,0,296.94
ITEM0000041,TXN000025,PRD0052,1,80.35,0.12,70.71
ITEM0000042,TXN000026,PRD0039,2,685.21,0,1370.42
ITEM0000043,TXN000026,PRD0054,2,83.36,0,166.72
ITEM0000044,TXN000027,PRD0038,1,457.54,0.05,434.66
ITEM0000045,TXN000028,PRD0053,1,62.29,0,62.29
ITEM0000046,TXN000029,PRD0054,1,83.36,0.12,73.36
ITEM0000047,TXN000029,PRD0042,1,471.23,0,471.23
ITEM0000048,TXN000030,PRD0045,1,559.98,0,559.98
ITEM0000049,TXN000030,PRD0039,1,685.21,0.1,616.69
ITEM0000050,TXN000031,PRD0051,1,93.12,0.12,81.95
ITEM0000051,TXN000031,PRD0041,1,379.86,0,379.86
ITEM0000052,TXN000032,PRD0053,1,62.29,0,62.29
ITEM0000053,TXN000033,PRD0029,1,355.31,0,355.31
ITEM0000054,TXN000034,PRD0024,1,1107.82,0,1107.82
ITEM0000055,TXN000034,PRD0052,1,80.35,0,80.35
ITEM0000056,TXN000035,PRD0012,1,696.97,0.1,627.27
ITEM0000057,TXN000035,PRD0006,1,670.27,0,670.27
