transaction_id,customer_id,transaction_date,channel,store_id,total_amount,discount_amount,payment_method,order_status,campaign_id
TXN000001,CUST00001,2026-03-21,POS,ST003,2377.4,100.54,StoreValueCard,Completed,
TXN000002,CUST00001,2026-03-30,Tmall,ST009,592.42,104.55,Alipay,Completed,
TXN000003,CUST00001,2026-05-24,MiniProgram,ST012,56.06,6.23,WeChatPay,Completed,
TXN000004,CUST00002,2025-07-29,MiniProgram,ST008,547.04,0.0,Alipay,Completed,
TXN000005,CUST00003,2025-04-05,MiniProgram,ST003,2694.04,0.0,Alipay,Completed,
TXN000006,CUST00003,2026-06-06,POS,ST005,1760.01,0.0,WeChatPay,Completed,CMP002
TXN000007,CUST00004,2026-06-15,POS,ST004,1220.57,151.76,StoreValueCard,Completed,
TXN000008,CUST00005,2026-06-28,WeChatStore,ST008,76.76,4.04,StoreValueCard,Completed,
TXN000009,CUST00006,2025-11-01,WeChatStore,ST004,161.14,12.0,StoreValueCard,Completed,
TXN000010,CUST00006,2026-06-13,Douyin,ST008,93.12,0.0,WeChatPay,Completed,
TXN000011,CUST00007,2024-06-21,App,ST003,80.8,0.0,Cash,Completed,
TXN000012,CUST00007,2024-12-28,WeChatStore,ST001,852.61,94.73,WeChatPay,Completed,CMP006
TXN000013,CUST00007,2025-01-16,WeChatStore,ST004,995.65,0.0,Cash,Completed,
TXN000014,CUST00007,2025-01-22,MiniProgram,ST002,472.11,0.0,WeChatPay,Completed,
TXN000015,CUST00007,2025-03-28,MiniProgram,ST002,1311.52,83.5,Cash,Completed,CMP001
TXN000016,CUST00007,2025-06-02,Douyin,ST009,703.02,0.0,WeChatPay,Completed,
TXN000017,CUST00007,2025-08-02,POS,ST011,898.14,0.0,WeChatPay,Completed,
TXN000018,CUST00007,2025-08-04,App,ST003,1361.03,121.19,Cash,Completed,
TXN000019,CUST00007,2025-08-08,MiniProgram,ST010,803.0,141.71,Alipay,Completed,
TXN000020,CUST00007,2025-08-23,POS,ST011,261.31,35.63,StoreValueCard,Completed,
TXN000021,CUST00007,2025-09-19,Tmall,ST001,720.36,0.0,Alipay,Completed,
TXN000022,CUST00007,2025-10-31,MiniProgram,ST012,1053.39,0.0,StoreValueCard,Completed,CMP004
TXN000023,CUST00007,2026-02-25,Douyin,ST002,1716.4,17.58,Cash,Completed,
TXN000024,CUST00007,2026-02-28,Tmall,ST006,296.94,0.0,CreditCard,Completed,
TXN000025,CUST00007,2026-05-14,WeChatStore,ST002,70.71,9.64,Alipay,Completed,
TXN000026,CUST00008,2026-03-25,Tmall,ST011,1537.14,0.0,StoreValueCard,Completed,
TXN000027,CUST00008,2026-03-26,MiniProgram,ST006,434.66,22.88,Alipay,Completed,
TXN000028,CUST00008,2026-04-15,MiniProgram,ST011,62.29,0.0,Cash,Completed,
TXN000029,CUST00008,2026-04-16,POS,ST007,544.59,10.0,WeChatPay,Completed,
TXN000030,CUST00008,2026-05-03,Tmall,ST008,1176.67,68.52,Alipay,Completed,
TXN000031,CUST00008,2026-05-08,Tmall,ST011,461.81,11.17,WeChatPay,Completed,
TXN000032,CUST00008,2026-05-13,Douyin,ST006,62.29,0.0,Alipay,Completed,
TXN000033,CUST00009,2026-01-27,MiniProgram,ST011,355.31,0.0,CreditCard,Completed,
TXN000034,CUST00009,2026-03-01,Tmall,ST004,1188.17,0.0,CreditCard,Completed,
TXN000035,CUST00010,2025-10-08,App,ST001,1297.54,69.7,WeChatPay,Completed,
TXN000036,CUST00010,2026-06-28,WeChatStore,ST012,2599.77,54.58,WeChatPay,Completed,
TXN000037,CUST00011,2025-12-20,MiniProgram,ST003,1221.78,23.34,WeChatPay,Completed,
TXN000038,CUST00011,2026-02-15,WeChatStore,ST001,1712.33,171.9,CreditCard,Completed,
TXN000039,CUST00011,2026-02-17,MiniProgram,ST010,556.75,0.0,CreditCard,Completed,
TXN000040,CUST00011,2026-03-11,MiniProgram,ST007,1995.18,0.0,WeChatPay,Returned,
TXN000041,CUST00011,2026-04-23,Tmall,ST007,986.04,0.0,Alipay,Completed,
TXN000042,CUST00011,2026-05-08,Douyin,ST004,916.91,0.0,WeChatPay,Completed,CMP006
TXN000043,CUST00012,2026-04-20,Douyin,ST001,3979.0,247.87,Cash,Completed,
TXN000044,CUST00012,2026-04-23,POS,ST006,360.62,0.0,WeChatPay,Completed,
TXN000045,CUST00012,2026-04-23,WeChatStore,ST001,198.41,35.01,StoreValueCard,Completed,
TXN000046,CUST00012,2026-04-27,App,ST007,501.44,0.0,StoreValueCard,Completed,
TXN000047,CUST00012,2026-05-12,Douyin,ST010,299.29,0.0,WeChatPay,Completed,
TXN000048,CUST00012,2026-05-17,MiniProgram,ST012,359.94,0.0,StoreValueCard,Completed,
TXN000049,CUST00013,2026-06-13,App,ST002,852.61,94.73,CreditCard,Completed,CMP001
