OU_NAME,CUSTOMER_NUMBER,customer name,BRAND,SALES_ORDER,CUST_PO_NUMBER,ORDER_TYPE,HEAD_STATUS,LINE_NUMBER,STYLE,COLOR,STYLE_COLOR,BLANK,SKU,SKU_DESC,UPC,LINE_STATUS,COMMENT1,SELLING_SEASON_CODE,ORDERED_DATE,REQUEST_DATE,SCHEDULE_DATE,LAD,DEMAND_CLASS,OPEN_QTY,RRP,discount,unit selling price with discount,selling price with discount
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274722,F25-BJLMYQ_MONO-Early,Bulk Order Pre-Season-Shanghai,BOOKED,131.1,1164156,DZY,1164156-DZY,,1164156-DZY-XL,M GLIDETECH QUARTER ZIP,197634835686,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-24,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,3,799,0.8,639.2,1917.6000000000001
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274722,F25-BJLMYQ_MONO-Early,Bulk Order Pre-Season-Shanghai,BOOKED,132.1,1164156,DZY,1164156-DZY,,1164156-DZY-XL,M GLIDETECH QUARTER ZIP,197634835686,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-24,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,1,799,0.8,639.2,639.2
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274722,F25-BJLMYQ_MONO-Early,Bulk Order Pre-Season-Shanghai,BOOKED,145.1,1168953,BWHT,1168953-BWHT,,1168953-BWHT-06/07,U PROJECT TRANSPORT TS,198605201486,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-06-24,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,1,1299,0.8,1039.2,1039.2
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,4.1,1155196,AYF,1155196-AYF,,1155196-AYF-06.5B,W KAHA 2 FROST MOC GTX,198605156878,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-11-07,2025-12-18,2026-01-31,HOKA-CH-WHOLESALE,10,1699,0.8,1359.2,13592.0
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,5.1,1155196,AYF,1155196-AYF,,1155196-AYF-06B,W KAHA 2 FROST MOC GTX,198605156885,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-11-07,2025-12-18,2026-01-31,HOKA-CH-WHOLESALE,6,1699,0.8,1359.2,8155.200000000001
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,7.1,1155196,AYF,1155196-AYF,,1155196-AYF-07B,W KAHA 2 FROST MOC GTX,198605156908,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-11-07,2025-12-18,2026-01-31,HOKA-CH-WHOLESALE,4,1699,0.8,1359.2,5436.8
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,25.1,1155210,BBLC,1155210-BBLC,,1155210-BBLC-09D,M KAHA 2 FROST MOC GTX,197634485430,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,6,1699,0.8,1359.2,8155.200000000001
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,37.1,1155196,OKS,1155196-OKS,,1155196-OKS-05.5B,W KAHA 2 FROST MOC GTX,197634485195,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,11,1699,0.8,1359.2,14951.2
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,40.1,1155196,OKS,1155196-OKS,,1155196-OKS-06.5B,W KAHA 2 FROST MOC GTX,197634485218,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,13,1699,0.8,1359.2,17669.600000000002
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,41.1,1155196,OKS,1155196-OKS,,1155196-OKS-06B,W KAHA 2 FROST MOC GTX,197634485225,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,14,1699,0.8,1359.2,19028.8
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,42.1,1155196,OKS,1155196-OKS,,1155196-OKS-07.5B,W KAHA 2 FROST MOC GTX,197634485232,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,9,1699,0.8,1359.2,12232.800000000001
Deckers Shanghai OU,59900425-HOKA,Customer 16,HOKA,133274724,F25_HCN-800001046_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,43.1,1155196,OKS,1155196-OKS,,1155196-OKS-07B,W KAHA 2 FROST MOC GTX,197634485249,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,13,1699,0.8,1359.2,17669.600000000002
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,8.1,1155210,BBLC,1155210-BBLC,,1155210-BBLC-08.5D,M KAHA 2 FROST MOC GTX,197634485409,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,3,1699,0.8,1359.2,4077.6000000000004
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,17.1,1155196,BBLC,1155196-BBLC,,1155196-BBLC-07.5B,W KAHA 2 FROST MOC GTX,197634484716,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,9,1699,0.8,1359.2,12232.800000000001
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,18.1,1155196,BBLC,1155196-BBLC,,1155196-BBLC-07B,W KAHA 2 FROST MOC GTX,197634484723,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-09-23,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,9,1699,0.8,1359.2,12232.800000000001
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,26.1,1126851,BCSTL,1126851-BCSTL,,1126851-BCSTL-05.5/06.5,U MAFATE SPEED 2,197634026138,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-27,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,2,1399,0.8,1119.2,2238.4
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,27.1,1126851,BCSTL,1126851-BCSTL,,1126851-BCSTL-05/06,U MAFATE SPEED 2,197634026329,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-25,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,1,1399,0.8,1119.2,1119.2
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,28.1,1126851,BCSTL,1126851-BCSTL,,1126851-BCSTL-06.5/07.5,U MAFATE SPEED 2,197634026152,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-27,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,1,1399,0.8,1119.2,1119.2
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,29.1,1126851,BCSTL,1126851-BCSTL,,1126851-BCSTL-06/07,U MAFATE SPEED 2,197634026169,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-25,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,2,1399,0.8,1119.2,2238.4
Deckers Shanghai OU,22790272-HOKA,Customer 9,HOKA,133274727,F25_HCN-800001095_MONO-SIZE,Bulk Order Pre-Season-Shanghai,BOOKED,30.1,1126851,BCSTL,1126851-BCSTL,,1126851-BCSTL-07/08,U MAFATE SPEED 2,197634026213,AWAITING_SHIPPING,F25,F25,2025-03-24,2025-08-27,2025-12-18,2025-12-31,HOKA-CH-WHOLESALE,1,1399,0.8,1119.2,1119.2
